Disease,Probability
Acne,0.5921216607093811
Fungal,0.31621092557907104
Allergies,0.040007758885622025
Migraine,0.014767480082809925
Arthritis,0.014196919277310371
Hypothyroidism,0.010016854852437973
Diabetes,0.008036925457417965
Vertigo,0.002196103800088167
Hypertension,0.0014819341013208032
Hyperthyroidism,0.0009633441222831607
